case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
amos_0317,0.734651,0.731994,0.624483,0.872078,190,23,0.754462,245.7178
amos_0318,0.869490,0.857482,0.789718,0.937466,190,23,0.813125,114.8944
amos_0320,0.884708,0.879885,0.856650,0.928436,190,23,0.863565,264.3994
amos_0321,0.869506,0.868100,0.792526,0.934949,190,23,0.802044,132.4396
amos_0323,0.852871,0.848526,0.743172,0.922587,190,23,0.761717,124.6834
amos_0325,0.348297,0.347965,0.166417,0.545453,190,23,0.824405,103.2505
amos_0326,0.748331,0.749185,0.680351,0.841534,190,23,0.873132,168.5659
amos_0328,0.891387,0.891713,0.862164,0.919494,190,23,0.864560,97.4528
amos_0330,0.431424,0.421027,0.263778,0.675949,190,23,0.729875,220.0693
amos_0332,0.251677,0.242444,0.028498,0.636254,190,23,0.749483,144.4195
amos_0333,0.627974,0.628641,0.488828,0.741363,190,23,0.687761,123.3844
amos_0334,0.816514,0.817072,0.747397,0.872348,190,23,0.881802,207.1283
amos_0336,0.892646,0.894511,0.852969,0.919749,190,23,0.837092,106.4627
amos_0337,0.742053,0.742913,0.651369,0.840275,190,23,0.714199,106.1352
amos_0339,0.276926,0.260673,0.082245,0.557248,190,23,0.372041,365.7689
amos_0341,0.869499,0.869272,0.837474,0.901109,190,23,0.824651,169.5624
amos_0342,0.877070,0.876263,0.838958,0.906530,190,23,0.825330,165.5799
amos_0344,0.905422,0.906037,0.872980,0.930930,190,23,0.855319,163.9822
amos_0346,0.681655,0.682074,0.582721,0.809836,190,23,0.580244,275.5312
amos_0348,0.876813,0.877491,0.847024,0.912347,190,23,0.860546,115.3834
amos_0349,0.397520,0.396211,0.244484,0.581657,190,23,0.777989,142.0256
amos_0350,0.680082,0.680604,0.577284,0.783200,190,23,0.773291,364.6449
amos_0351,0.544666,0.543063,0.409669,0.674022,190,23,0.627386,104.7386
amos_0352,0.869484,0.870881,0.792133,0.932606,190,23,0.795449,176.6194
amos_0353,0.805377,0.808278,0.691242,0.917292,190,23,0.778939,295.6589
amos_0356,0.065244,0.006539,0.000000,0.612245,190,23,0.028161,135.1299
amos_0357,0.870647,0.872230,0.835110,0.895398,190,23,0.784876,211.7975
amos_0358,0.175477,0.157873,0.000000,0.769043,190,23,0.401123,160.4632
amos_0361,0.290563,0.280131,0.176310,0.494490,190,23,0.333028,85.1335
amos_0362,0.121510,0.108931,0.014615,0.304379,190,23,0.461123,70.6857
amos_0363,0.413120,0.410809,0.210621,0.670094,190,23,0.443325,128.9098
amos_0364,0.126176,0.109334,0.000000,0.677065,190,23,0.420399,109.0554
amos_0365,0.142497,0.136791,0.007028,0.486055,190,23,0.466301,66.8838
amos_0366,0.134529,0.104670,0.000000,0.526294,190,23,0.572101,88.5170
amos_0367,0.386306,0.377078,0.202339,0.670567,190,22,0.682754,84.8219
amos_0368,0.358435,0.348047,0.125634,0.682875,190,23,0.771975,82.4930
amos_0370,0.138478,0.124668,0.065995,0.366300,190,23,0.381902,83.3638
amos_0371,0.275430,0.238681,0.000000,0.864159,190,23,0.342042,116.2108
amos_0372,0.371064,0.361515,0.213459,0.548741,190,23,0.527091,67.7444
amos_0373,0.225789,0.221214,0.102552,0.406534,190,23,0.678754,77.0936
amos_0374,0.172524,0.171487,0.000000,0.495224,190,23,0.000000,74.0875
amos_0376,0.161248,0.155811,0.000735,0.397519,190,22,0.499017,89.7966
amos_0377,0.261071,0.263834,0.055649,0.562274,190,23,0.575042,122.6174
amos_0378,0.212754,0.208455,0.077370,0.452122,190,23,0.539478,69.3842
amos_0379,0.278688,0.271536,0.131426,0.565165,190,23,0.509344,71.7527
amos_0380,0.184379,0.169033,0.029320,0.479990,190,22,0.588057,70.5094
amos_0381,0.264144,0.269541,0.072445,0.519941,190,23,0.405029,75.2068
amos_0383,0.119836,0.111449,0.000000,0.392467,190,23,0.343966,77.9282
amos_0384,0.239563,0.226212,0.000000,0.768717,190,21,0.251046,124.8595
amos_0385,0.268001,0.259550,0.104973,0.534917,190,23,0.687545,52.0105
amos_0387,0.099847,0.084187,0.000000,0.459033,190,23,0.392519,74.5708
amos_0388,0.241931,0.239571,0.057983,0.494183,190,23,0.660104,115.0938
amos_0390,0.032714,0.000000,0.000000,0.303106,190,22,0.060813,71.1780
amos_0391,0.164616,0.129291,0.014719,0.551729,190,23,0.211457,67.4671
amos_0392,0.240853,0.203112,0.000000,0.830800,190,19,0.593333,111.0911
amos_0395,0.068295,0.030366,0.000000,0.389353,190,23,0.172866,145.9643
amos_0396,0.327553,0.322415,0.114181,0.704880,190,23,0.650682,62.4088
amos_0397,0.109945,0.007042,0.000000,0.691131,190,20,0.090205,119.2980
amos_0398,0.332486,0.332109,0.145483,0.532473,190,23,0.496466,62.7924
amos_0399,0.139350,0.122390,0.000000,0.551717,190,23,0.393287,129.5321
amos_0400,0.296499,0.287315,0.044776,0.753552,190,23,0.288355,155.8840
amos_0401,0.318004,0.309203,0.173515,0.508556,190,23,0.723342,114.3429
amos_0402,0.178594,0.159529,0.039766,0.717457,190,22,0.711043,111.2911
amos_0403,0.124383,0.116021,0.000000,0.498436,190,22,0.394006,97.6699
amos_0404,0.157492,0.107110,0.000000,0.613956,190,23,0.287223,103.4782
amos_0405,0.246016,0.241749,0.067425,0.567247,190,23,0.609345,69.3071
amos_0406,0.107582,0.104449,0.000000,0.427233,190,22,0.039856,115.1186
amos_0408,0.254983,0.245729,0.099644,0.577639,190,23,0.557681,89.7365
amos_0409,0.334420,0.319700,0.209663,0.525768,190,23,0.467279,63.7808
amos_0410,0.277813,0.237196,0.089777,0.766248,190,23,0.609608,73.8377
