case_id,our_aorta_ml,ts_aorta_ml,diff_aorta_ml,our_r_iliac_ml,ts_r_iliac_ml,diff_r_iliac_ml,our_l_iliac_ml,ts_l_iliac_ml,diff_l_iliac_ml
s0442,141.406,6.362,135.044,2.936,18.826,-15.889,0.628,19.491,-18.863
s0443,0.297,0.000,0.297,0.000,4.958,-4.958,0.000,4.668,-4.668
s0446,158.402,166.749,-8.346,22.980,17.243,5.737,32.123,18.465,13.659
s0447,208.940,214.107,-5.167,30.979,12.778,18.201,34.746,14.219,20.527
s0454,6.466,11.893,-5.427,8.097,18.245,-10.149,10.304,17.094,-6.790
s0456,207.640,204.056,3.584,15.498,11.111,4.387,23.692,17.223,6.470
s0461,221.464,229.709,-8.245,34.736,20.584,14.151,22.879,23.244,-0.364
s0467,460.758,383.505,77.254,30.453,21.475,8.978,26.902,24.715,2.187
s0468,150.484,140.552,9.933,57.139,30.763,26.376,48.992,34.550,14.442
s0472,239.115,244.556,-5.440,40.983,16.777,24.206,16.291,15.714,0.577
s0475,0.000,9.919,-9.919,0.935,15.775,-14.840,0.442,16.095,-15.653
s0476,234.266,239.112,-4.846,24.216,19.322,4.894,27.844,19.994,7.850
s0477,295.734,286.274,9.460,18.866,10.787,8.080,11.411,11.890,-0.479
s0483,224.765,222.207,2.558,21.080,14.637,6.443,19.049,13.817,5.231
s0484,283.277,283.746,-0.469,25.866,19.484,6.382,23.075,17.246,5.829
s0487,119.434,121.233,-1.799,0.041,0.000,0.041,0.196,0.000,0.196
s0498,413.039,422.277,-9.237,2.261,0.000,2.261,0.000,0.000,0.000
s0500,143.431,122.165,21.266,36.099,30.034,6.065,31.796,23.814,7.982
s0502,298.333,279.271,19.062,31.681,12.454,19.227,22.545,17.233,5.312
s0506,0.000,0.000,0.000,3.837,18.178,-14.340,0.250,17.432,-17.182
s0507,252.686,267.273,-14.587,29.298,24.543,4.755,39.774,27.746,12.029
s0510,191.585,194.930,-3.345,0.000,0.000,0.000,0.000,0.000,0.000
s0511,175.328,185.207,-9.879,0.658,0.547,0.111,1.313,0.651,0.661
s0516,416.782,574.010,-157.228,7.412,22.127,-14.715,9.896,23.335,-13.439
s0519,280.290,291.084,-10.793,14.246,14.192,0.054,21.988,13.277,8.711
s0536,281.823,292.937,-11.114,22.434,20.837,1.596,46.403,23.095,23.308
s0543,306.261,320.578,-14.317,32.117,19.011,13.105,25.809,21.705,4.104
s0546,292.042,275.103,16.939,24.860,17.503,7.358,21.576,18.043,3.534
s0548,120.612,110.501,10.112,49.410,31.782,17.628,45.023,33.173,11.850
s0549,362.823,375.138,-12.315,32.400,25.123,7.276,29.970,22.410,7.560
s0550,294.378,312.609,-18.232,24.573,15.302,9.271,18.218,14.836,3.382
s0551,228.369,234.984,-6.615,27.304,16.156,11.148,13.237,13.537,-0.300
s0556,261.242,269.639,-8.397,0.000,0.074,-0.074,0.000,0.101,-0.101
s0561,224.235,234.157,-9.923,18.805,14.901,3.905,16.227,13.638,2.589
s0564,0.000,3.210,-3.210,0.503,11.205,-10.702,2.059,12.265,-10.206
s0571,185.483,183.759,1.725,13.686,11.397,2.288,20.392,11.583,8.809
s0573,6.838,8.535,-1.698,6.666,18.637,-11.971,3.554,17.256,-13.702
s0574,275.646,280.935,-5.289,14.027,13.841,0.186,26.487,13.956,12.531
s0577,103.690,79.458,24.233,19.501,19.464,0.037,57.878,18.509,39.369
s0578,186.077,190.195,-4.118,16.602,10.928,5.673,16.889,12.683,4.205
s0581,10.611,17.209,-6.598,22.089,18.306,3.783,26.912,19.102,7.810
s0587,286.774,285.326,1.448,42.704,15.329,27.375,22.086,15.599,6.487
s0588,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
s0589,190.998,198.281,-7.283,21.644,15.741,5.903,25.728,14.303,11.424
s0591,226.446,238.515,-12.069,20.743,14.101,6.642,22.025,10.348,11.678
s0592,110.825,243.246,-132.421,10.442,14.938,-4.495,7.992,17.499,-9.507
s0593,168.882,171.703,-2.822,22.849,12.609,10.240,20.989,12.801,8.188
